Date,Horde Daily,Rewards (Incon/Adv/Beg),Mutator Set,Escape Daily,Rewards (Incon/Adv/Beg)_2
2/28/25,Mercy,1 Legendary Card / 4 Cards / 200 Coins,"Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",The Clock,1 Legendary Card / 4 Cards / 200 Coins
3/1/25,Training Grounds,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Shock Rifle Drones, More Health, Shock Grenadiers, Vampiric Drones, Freezing Sniper Bullets, Survivor.",The Hunters,"400 Coins / 300 Coins / 2,500 CXP"
3/2/25,Bunker,"6 Cards / 4 Cards / 2,500 CXP","Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",The Trap,"6 Cards / 4 Cards / 2,500 CXP"
3/3/25,Dawn,"10,000 CXP / 5,000 CXP / 200 Coins","Poison Flushers, More Melee Damage, More Health, Close Range Gambit, More Lethal, Poison Drones, Survivor.",The Mines,1 Legendary Card / 4 Cards / 200 Coins
3/4/25,Vasgar,"6 Cards / 4 Cards / 2,500 CXP","Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",The Blight,1 Legendary Card / 4 Cards / 200 Coins
3/5/25,Foundation,"10,000 CXP / 5,000 CXP / 200 Coins","Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",The Wanderer,"10,000 CXP / 5,000 CXP / 200 Coins"
3/6/25,Atrium,"400 Coins / 300 Coins / 2,500 CXP","More Lethal, Vampiric Drones, More Health, Only Regen in Cover, Vampire, Survivor, Regen Penalty.",The Malfunction,1 Legendary Card / 4 Cards / 200 Coins
3/7/25,Lift,"10,000 CXP / 5,000 CXP / 200 Coins","Reduced Bleeding Damage, Survivor, Reduced Explosive Damage, Regen Penalty, Double Headshot Damage, Regeneration, Power Drain.",The Choke,"6 Cards / 4 Cards / 2,500 CXP"
3/8/25,Pahanu,"6 Cards / 4 Cards / 2,500 CXP","More Lethal, Freezing Rifles, More Health, Ghost Flushers, Increased Accuracy, Shock Snipers, Survivor.",The Surge,"10,000 CXP / 5,000 CXP / 200 Coins"
3/9/25,Icebound,1 Legendary Card / 4 Cards / 200 Coins,"Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",Venom Run,"6 Cards / 4 Cards / 2,500 CXP"
3/10/25,Reclaimed,"6 Cards / 4 Cards / 2,500 CXP","Poison Flushers, Survivor, Reflective Shell Grenadiers, More Lethal, Healing Heavies, Power Drain, Execution Rules.",Last Stand,"6 Cards / 4 Cards / 2,500 CXP"
3/11/25,Turbine,"6 Cards / 4 Cards / 2,500 CXP","Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",The Line,1 Legendary Card / 4 Cards / 200 Coins
3/12/25,Abyss,"400 Coins / 300 Coins / 2,500 CXP","Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",The Corruption,1 Legendary Card / 4 Cards / 200 Coins
3/13/25,Allfathers Arena,"10,000 CXP / 5,000 CXP / 200 Coins","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",The Hive ,"6 Cards / 4 Cards / 2,500 CXP"
3/14/25,Reactor,1 Legendary Card / 4 Cards / 200 Coins,"Heads Up, More Lethal, Triple Headshot Damage, More Health, Confetti Headshot, Increased Accuracy, Survivor.",Forever,1 Legendary Card / 4 Cards / 200 Coins
3/15/25,Harbor,1 Legendary Card / 4 Cards / 200 Coins,"Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",The Detour,"6 Cards / 4 Cards / 2,500 CXP"
3/16/25,Village,1 Legendary Card / 4 Cards / 200 Coins,"Shielded Grenadiers, More Health, Aggressive Enemies, More Lethal, Vampiric Drones, Survivor, Power Drain.",Ice Queen,"10,000 CXP / 5,000 CXP / 200 Coins"
3/17/25,Forge,1 Legendary Card / 4 Cards / 200 Coins,"Shielded Grenadiers, More Health, Aggressive Enemies, More Lethal, Vampiric Drones, Survivor, Power Drain.",The Onslaught,"10,000 CXP / 5,000 CXP / 200 Coins"
3/18/25,Canals,"10,000 CXP / 5,000 CXP / 200 Coins","Poison Flushers, Survivor, Reflective Shell Grenadiers, More Lethal, Healing Heavies, Power Drain, Execution Rules.",The Gatekeepers,"10,000 CXP / 5,000 CXP / 200 Coins"
3/19/25,Regency,1 Legendary Card / 4 Cards / 200 Coins,"Ghost Enemies, More Health, Reflective Shell Heavies, Long Range Gambit, More Lethal, Freezing Sniper Bullets, Survivor.",The Hunters,"400 Coins / 300 Coins / 2,500 CXP"
3/20/25,Checkout,1 Legendary Card / 4 Cards / 200 Coins,"Heads Up, More Lethal, Triple Headshot Damage, More Health, Confetti Headshot, Increased Accuracy, Survivor.",The Labyrinth,"10,000 CXP / 5,000 CXP / 200 Coins"
3/21/25,District,"10,000 CXP / 5,000 CXP / 200 Coins","Poison Flushers, More Melee Damage, More Health, Close Range Gambit, More Lethal, Poison Drones, Survivor.",The Wanderer,1 Legendary Card / 4 Cards / 200 Coins
3/22/25,River,"10,000 CXP / 5,000 CXP / 200 Coins","Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",The Link,"10,000 CXP / 5,000 CXP / 200 Coins"
3/23/25,Ritual,"400 Coins / 300 Coins / 2,500 CXP","Freezing Rifles, More Lethal, Shielded Heavies, More Health, Frag Rejects, Survivor, Regeneration.",The Warren,"10,000 CXP / 5,000 CXP / 200 Coins"
3/24/25,Nexus,1 Legendary Card / 4 Cards / 200 Coins,"Poison Flushers, More Melee Damage, More Health, Close Range Gambit, More Lethal, Poison Drones, Survivor.",The Descent,"10,000 CXP / 5,000 CXP / 200 Coins"
3/25/25,Lift,1 Legendary Card / 4 Cards / 200 Coins,"Only Regen in Cover, More Lethal, Must Active Reload, More Health, Bobblehead Enemies, Regeneration, Survivor.",The Choke,1 Legendary Card / 4 Cards / 200 Coins
3/26/25,Dawn,"6 Cards / 4 Cards / 2,500 CXP","Reduced Bleeding Damage, Survivor, Reduced Explosive Damage, Regen Penalty, Double Headshot Damage, Regeneration, Power Drain.",The Split,1 Legendary Card / 4 Cards / 200 Coins
3/27/25,Training Grounds,"400 Coins / 300 Coins / 2,500 CXP","More Lethal, Ultra Stopping Power, More Health, Aggressive Enemies, Ultra Stopping Power, Survivor, Regen Penalty.",The Corruption,"400 Coins / 300 Coins / 2,500 CXP"
3/28/25,Abyss,1 Legendary Card / 4 Cards / 200 Coins,"Heads Up, More Lethal, Triple Headshot Damage, More Health, Confetti Headshot, Increased Accuracy, Survivor.",The Gauntlet,"400 Coins / 300 Coins / 2,500 CXP"
3/29/25,Tomb,"400 Coins / 300 Coins / 2,500 CXP","Ghost Enemies, More Health, Reflective Shell Heavies, Long Range Gambit, More Lethal, Freezing Sniper Bullets, Survivor.",The Ambush,"6 Cards / 4 Cards / 2,500 CXP"
3/30/25,Icebound,"10,000 CXP / 5,000 CXP / 200 Coins","Bobblehead Enemies, Even Stronger Enemies, Zero Gravity Gore, More Health, Confetti Headshot, More Health, Survivor.",The End,"10,000 CXP / 5,000 CXP / 200 Coins"
3/31/25,Reactor,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Freezing Rifles, More Health, Ghost Flushers, Increased Accuracy, Shock Snipers, Survivor.",The Mist,"6 Cards / 4 Cards / 2,500 CXP"
4/1/25,Bunker,1 Legendary Card / 4 Cards / 200 Coins,"Heads Up, More Lethal, Triple Headshot Damage, More Health, Confetti Headshot, Increased Accuracy, Survivor.",Lethal Engagements,"10,000 CXP / 5,000 CXP / 200 Coins"
4/2/25,Overload,"6 Cards / 4 Cards / 2,500 CXP","Heads Up, More Lethal, Triple Headshot Damage, More Health, Confetti Headshot, Increased Accuracy, Survivor.",The Gatekeepers,"400 Coins / 300 Coins / 2,500 CXP"
4/3/25,Gridlock,"6 Cards / 4 Cards / 2,500 CXP","Confetti Headshot, Even Stronger Enemies, Zero Gravity Gore, More Health, Super Charged, More Health, Survivor.",The Mines,"400 Coins / 300 Coins / 2,500 CXP"
4/4/25,Exhibit,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Ghost Drones, More Health, Freezing Grenadiers, Aggressive Enemies, Ghost Heavies, Survivor.",Melee Brawl,1 Legendary Card / 4 Cards / 200 Coins
4/5/25,Atrium,"400 Coins / 300 Coins / 2,500 CXP","Confetti Headshot, Even Tougher Enemies, Power Boost, More Lethal, Vampire, More Lethal, Survivor.",Forever,1 Legendary Card / 4 Cards / 200 Coins
4/6/25,Speyer,"6 Cards / 4 Cards / 2,500 CXP","More Lethal, Ghost Drones, More Health, Freezing Grenadiers, Aggressive Enemies, Ghost Heavies, Survivor.",The Detour,"10,000 CXP / 5,000 CXP / 200 Coins"
4/7/25,Forge,"10,000 CXP / 5,000 CXP / 200 Coins","Shielded Grenadiers, More Health, Aggressive Enemies, More Lethal, Vampiric Drones, Survivor, Power Drain.",The Surge,1 Legendary Card / 4 Cards / 200 Coins
4/8/25,River,"10,000 CXP / 5,000 CXP / 200 Coins","More Lethal, Vampiric Drones, More Health, Only Regen in Cover, Vampire, Survivor, Regen Penalty.",The Clock,"10,000 CXP / 5,000 CXP / 200 Coins"
4/9/25,Lift,"10,000 CXP / 5,000 CXP / 200 Coins","Heads Up, More Lethal, Triple Headshot Damage, More Health, Confetti Headshot, Increased Accuracy, Survivor.",Venom Run,"400 Coins / 300 Coins / 2,500 CXP"
4/10/25,Reclaimed,"10,000 CXP / 5,000 CXP / 200 Coins","More Lethal, Vampiric Drones, More Health, Only Regen in Cover, Vampire, Survivor, Regen Penalty.",The Choke,1 Legendary Card / 4 Cards / 200 Coins
4/11/25,Village,"400 Coins / 300 Coins / 2,500 CXP","More Lethal, Ultra Stopping Power, More Health, Aggressive Enemies, Ultra Stopping Power, Survivor, Regen Penalty.",The Hive ,"6 Cards / 4 Cards / 2,500 CXP"
4/12/25,Mercy,"6 Cards / 4 Cards / 2,500 CXP","Ultra Power Drain, More Lethal, Ultra Slow Recharge, More Health, Instant Reload, Regen Penalty, Survivor.",The Blight,"400 Coins / 300 Coins / 2,500 CXP"
4/13/25,Foundation,"6 Cards / 4 Cards / 2,500 CXP","Aggressive Enemies, More Lethal, More Melee Damage, More Health, Ghost Flushers, Super Energy, Survivor.",The Warren,"10,000 CXP / 5,000 CXP / 200 Coins"
4/14/25,Ritual,"6 Cards / 4 Cards / 2,500 CXP","Reduced Heavy Damage, More Lethal, Reduced Explosive Damage, Regen Penalty, Triple Melee Damage, Execution Rules, Survivor.",The Wanderer,"400 Coins / 300 Coins / 2,500 CXP"
4/15/25,Harbor,"400 Coins / 300 Coins / 2,500 CXP","More Lethal, Ghost Drones, More Health, Freezing Grenadiers, Aggressive Enemies, Ghost Heavies, Survivor.",The End,"6 Cards / 4 Cards / 2,500 CXP"
4/16/25,Training Grounds,1 Legendary Card / 4 Cards / 200 Coins,"More Lethal, Ultra Stopping Power, More Health, Aggressive Enemies, Ultra Stopping Power, Survivor, Regen Penalty.",The Malfunction,"400 Coins / 300 Coins / 2,500 CXP"
4/17/25,Checkout,"10,000 CXP / 5,000 CXP / 200 Coins","Shielded Grenadiers, More Health, Aggressive Enemies, More Lethal, Vampiric Drones, Survivor, Power Drain.",The Hunters,"10,000 CXP / 5,000 CXP / 200 Coins"
